model,bibkey,dataset,EOS,nus,q,M1,M2,Mb1,Mb2,C1,C2,Lambda,Mej,vej,Yeej,theta_rms,Mdisk,arxiv
SFHo_M135135_LK,Radice:2018pdn(LK),LeakSet,SFHo,leak,1,1.35,1.35,1.48606,1.48606,0.1675,0.1675,416.185826350486,0.00353303,0.235227236793,0.16808633625,27.9945395651501,0.0623,https://arxiv.org/abs/1809.11161
SFHo_M140120_LK,Radice:2018pdn(LK),LeakSet,SFHo,leak,1.16666666666667,1.4,1.2,1.54655,1.30308,0.17405,0.14824,538.206929183586,0.00118141,0.197334707993,0.137845963645,27.5293373869209,0.1173,https://arxiv.org/abs/1809.11161
SFHo_M140140_LK,Radice:2018pdn(LK),LeakSet,SFHo,leak,1,1.4,1.4,1.54656,1.54656,0.17405,0.17405,328.900717069208,0.000409437,0.345544726832,0.187095225847,24.2066861994679,0.0001,https://arxiv.org/abs/1809.11161
SFHo_M144139_LK,Radice:2018pdn(LK),LeakSet,SFHo,leak,1.03597122302158,1.44,1.39,1.59791,1.53462,0.17935,0.17271,307.020572385404,0.000443001,0.325503227397,0.17931945352,20.024558494111,0.0009,https://arxiv.org/abs/1809.11161
SFHo_M146146_LK,Radice:2018pdn(LK),LeakSet,SFHo,leak,1,1.46,1.46,1.623,1.623,0.18202,0.18202,248.481777233841,9.88678E-06,0.182131584114,0.232877311919,26.9495016627476,0.0002,https://arxiv.org/abs/1809.11161
NL3_1.47_1.47,Lehner:2016lxy,LeakSet,NL3,leak,1,1.36,1.36,0.974405144748858,0.974405144748858,0.136,0.136,1657.59047031963,1.5E-05,0.45,,,,https://arxiv.org/abs/1603.00501
NL3_1.34_1.60,Lehner:2016lxy,LeakSet,NL3,leak,1.176,1.47,1.25,1.06192733333333,0.887276832701422,0.147,0.125,1688.41097445597,0.0023,0.25,,,,https://arxiv.org/abs/1603.00501
DD2_1.49_1.49,Lehner:2016lxy,LeakSet,DD2,leak,1,1.36,1.36,1.49648207096774,1.49648207096774,0.152,0.152,827.347533118279,0.00043,0.3,,,,https://arxiv.org/abs/1603.00501
DD2_1.36_1.62,Lehner:2016lxy,LeakSet,DD2,leak,1.13953488372093,1.47,1.29,1.63082015916955,1.40737911363636,0.164,0.144,775.076937623067,0.00042,0.3,,,,https://arxiv.org/abs/1603.00501
DD2_1.27_1.71,Lehner:2016lxy,LeakSet,DD2,leak,1.30508474576271,1.54,1.18,1.72151927014218,1.27512378313253,0.172,0.132,863.675659058584,0.0013,0.3,,,,https://arxiv.org/abs/1603.00501
SFHo_1.50_1.50,Lehner:2016lxy,LeakSet,SFHo,leak,1,1.36,1.36,1.51287593571429,1.51287593571429,0.169,0.169,398.1669075,0.0034,0.25,,,,https://arxiv.org/abs/1603.00501
